1.4	-327.8689578	-328.0932154	-328.0796755
1.42	-327.8844517	-328.1093277	-328.0957111
1.44	-327.8984944	-328.1239948	-328.1103017
1.46	-327.9112279	-328.137351	-328.1235824
1.48	-327.92278	-328.1495162	-328.135674
1.5	-327.9332665	-328.1605983	-328.146685
1.6	-327.9730361	-328.2028838	-328.1886692
1.7	-327.9982063	-328.2296249	-328.2152124
1.8	-328.0147423	-328.2469773	-328.2324493
1.9	-328.0261594	-328.2587605	-328.2441671
2	-328.0344867	-328.2672119	-328.252579
2.1	-328.0408783	-328.2736027	-328.2589408
2.2	-328.0459867	-328.2786482	-328.2639598
2.3	-328.0501835	-328.282754	-328.2680379
2.4	-328.0536871	-328.2861567	-328.271411
2.5	-328.0566352	-328.2890029	-328.2742262
2.6	-328.0591215	-328.29139	-328.2765821
2.7	-328.0612146	-328.2933879	-328.2785498
2.8	-328.0629685	-328.2950504	-328.2801844
2.9	-328.0644278	-328.2964223	-328.2815311
3	-328.065632	-328.2975431	-328.2826298
3.1	-328.066617	-328.2984493	-328.283517
3.2	-328.0674159	-328.2991744	-328.2842261
3.3	-328.068059	-328.299749	-328.2847878
3.4	-328.0685732	-328.3002004	-328.2852289
3.5	-328.0689822	-328.3005523	-328.2855729
3.6	-328.0693059	-328.3008245	-328.2858394
3.7	-328.0695612	-328.3010336	-328.2860446
3.8	-328.0697619	-328.3011931	-328.2862018
3.9	-328.0699192	-328.3013137	-328.2863213
4	-328.070042	-328.3014042	-328.2864117
4.1	-328.0701376	-328.3014714	-328.2864794
4.2	-328.0702118	-328.3015206	-328.2865296
4.3	-328.0702691	-328.3015561	-328.2865663
4.4	-328.0703132	-328.3015811	-328.2865927
4.5	-328.0703468	-328.3015983	-328.2866113
4.6	-328.0703723	-328.3016095	-328.2866239
4.7	-328.0703914	-328.3016164	-328.2866321
4.8	-328.0704056	-328.3016202	-328.286637
4.9	-328.070416	-328.3016217	-328.2866395
5	-328.0704236	-328.3016216	-328.2866403
5.1	-328.0704289	-328.3016205	-328.2866399
5.2	-328.0704327	-328.3016188	-328.2866388
5.3	-328.0704352	-328.3016167	-328.2866373
5.4	-328.0704368	-328.3016145	-328.2866355
5.5	-328.0704378	-328.3016124	-328.2866336
5.6	-328.0704383	-328.3016102	-328.2866317
5.7	-328.0704386	-328.3016083	-328.28663
5.8	-328.0704387	-328.3016065	-328.2866284
5.9	-328.0704386	-328.3016049	-328.2866269
6	-328.0704385	-328.3016036	-328.2866256
6.1	-328.0704383	-328.3016024	-328.2866245
6.2	-328.0704382	-328.3016013	-328.2866235
6.3	-328.070438	-328.3016004	-328.2866226
6.4	-328.0704378	-328.3015997	-328.2866219
6.5	-328.0704377	-328.3015991	-328.2866213
7.5	-328.0704371	-328.3015962	-328.2866184
8.5	-328.0704371	-328.3015956	-328.2866177
9.5	-328.0704371	-328.3015953	-328.2866174
10.5	-328.0704371	-328.3015952	-328.2866172
11.5	-328.0704371	-328.3015951	-328.2866171
12.5	-328.0704371	-328.3015951	-328.2866171
13.5	-328.0704371	-328.3015951	-328.2866171
14.5	-328.0704371	-328.3015951	-328.2866171
15.5	-328.0704371	-328.301595	-328.2866171
16.5	-328.0704371	-328.301595	-328.2866171
17.5	-328.0704371	-328.301595	-328.2866171
18.5	-328.0704371	-328.301595	-328.2866171
19.5	-328.0704371	-328.301595	-328.2866171
20.5	-328.0704371	-328.301595	-328.2866171
21.5	-328.0704371	-328.301595	-328.2866171
22.5	-328.0704371	-328.301595	-328.2866171
23.5	-328.0704371	-328.301595	-328.2866171
24.5	-328.0704371	-328.301595	-328.2866171
25.5	-328.0704371	-328.301595	-328.2866171
26.5	-328.0704371	-328.301595	-328.2866171
27.5	-328.0704371	-328.301595	-328.2866171
28.5	-328.0704371	-328.301595	-328.2866171
29.5	-328.0704371	-328.301595	-328.2866171
30.5	-328.0704371	-328.301595	-328.2866171
31.5	-328.0704371	-328.301595	-328.2866171
32.5	-328.0704371	-328.301595	-328.2866171
33.5	-328.0704371	-328.301595	-328.2866171
34.5	-328.0704371	-328.301595	-328.2866171
35.5	-328.0704371	-328.301595	-328.2866171
36.5	-328.0704371	-328.301595	-328.2866171
37.5	-328.0704371	-328.301595	-328.2866171
38.5	-328.0704371	-328.301595	-328.2866171
39.5	-328.0704371	-328.301595	-328.2866171
40.5	-328.0704371	-328.301595	-328.2866171
41.5	-328.0704371	-328.301595	-328.2866171
42.5	-328.0704371	-328.301595	-328.2866171
43.5	-328.0704371	-328.301595	-328.2866171
44.5	-328.0704371	-328.301595	-328.2866171
45.5	-328.0704371	-328.301595	-328.2866171
46.5	-328.0704371	-328.301595	-328.2866171
47.5	-328.0704371	-328.301595	-328.2866171
48.5	-328.0704371	-328.301595	-328.2866171
49.5	-328.0704371	-328.301595	-328.2866171
50.5	-328.0704371	-328.301595	-328.2866171
51.5	-328.0704371	-328.301595	-328.2866171
52.5	-328.0704371	-328.301595	-328.2866171
53.5	-328.0704371	-328.301595	-328.2866171
54.5	-328.0704371	-328.301595	-328.2866171
55.5	-328.0704371	-328.301595	-328.2866171
56.5	-328.0704371	-328.301595	-328.2866171
100	-328.0704371	-328.3015950	-328.2866171
